product_link,product_name,product_price
https://www.glassesshop.com/eyeglasses/fz1490,"
                                    Joplin
                                ",$24.95
https://www.glassesshop.com/eyeglasses/fp1508,"
                                    Bruno
                                ",$19.95
https://www.glassesshop.com/eyeglasses/fz1277,"
                                    Ezekiel
                                ",$29.95
https://www.glassesshop.com/eyeglasses/fp1618,"
                                    Baldwin
                                ",$19.95
https://www.glassesshop.com/eyeglasses/fp1443,"
                                    Tiffen
                                ",$19.95
https://www.glassesshop.com/eyeglasses/fz1015,"
                                    Iowa
                                ",$29.95
https://www.glassesshop.com/eyeglasses/fp2151,"
                                    Dominic
                                ",$12.95
https://www.glassesshop.com/eyeglasses/fp1938,"
                                    Abina
                                ",$19.95
https://www.glassesshop.com/eyeglasses/sm0787,"
                                    Darcy
                                ",$19.95
https://www.glassesshop.com/eyeglasses/fp1989,"
                                    Labrador
                                ",$12.95
https://www.glassesshop.com/eyeglasses/fp1972,"
                                    Flushing
                                ",$12.95
https://www.glassesshop.com/eyeglasses/fp2121,"
                                    Glendale
                                ",$24.95
https://www.glassesshop.com/eyeglasses/fm1285,"
                                    Lyndon
                                ",$19.95
https://www.glassesshop.com/eyeglasses/fp2023,"
                                    Joni
                                ",$29.95
https://www.glassesshop.com/eyeglasses/fm1245,"
                                    Burke
                                ",$9.95
https://www.glassesshop.com/eyeglasses/fp1764,"
                                    Arlene
                                ",$24.95
https://www.glassesshop.com/eyeglasses/fp1401,"
                                    Holt
                                ",$19.95
https://www.glassesshop.com/eyeglasses/fm1471,"
                                    Celeste
                                ",$34.95
https://www.glassesshop.com/eyeglasses/fp1181,"
                                    Darlene
                                ",$19.95
https://www.glassesshop.com/eyeglasses/fz1269,"
                                    Genevieve
                                ",$19.95
https://www.glassesshop.com/eyeglasses/fp1742,"
                                    Otis
                                ",$9.95
https://www.glassesshop.com/eyeglasses/fp1644,"
                                    Isaiah
                                ",$19.95
https://www.glassesshop.com/eyeglasses/fp1500,"
                                    Astrid
                                ",$19.95
https://www.glassesshop.com/eyeglasses/fp2086,"
                                    Annabelle
                                ",$24.95
https://www.glassesshop.com/eyeglasses/fp2039,"
                                    Fresno
                                ",$12.95
https://www.glassesshop.com/eyeglasses/fm1284,"
                                    Lyndon
                                ",$19.95
https://www.glassesshop.com/eyeglasses/fp2149,"
                                    Dominic
                                ",$12.95
https://www.glassesshop.com/eyeglasses/rm0298,"
                                    Ingemar
                                ",$19.95
https://www.glassesshop.com/eyeglasses/fp2065,"
                                    Eden
                                ",$19.95
https://www.glassesshop.com/eyeglasses/fp2105,"
                                    Salisbury
                                ",$19.95
https://www.glassesshop.com/eyeglasses/ft0360,"
                                    Mobile
                                ",$39.95
https://www.glassesshop.com/eyeglasses/fp1563,"
                                    Thomasville
                                ",$24.95
https://www.glassesshop.com/eyeglasses/fm1271,"
                                    Omar
                                ",$19.95
https://www.glassesshop.com/eyeglasses/fp1973,"
                                    Flushing
                                ",$12.95
https://www.glassesshop.com/eyeglasses/sm0862,"
                                    Willie
                                ",$19.95
https://www.glassesshop.com/eyeglasses/rm0296,"
                                    Gabriel
                                ",$19.95
https://www.glassesshop.com/eyeglasses/fp1843,"
                                    Butler
                                ",$19.95
https://www.glassesshop.com/eyeglasses/fp1658,"
                                    Rainbow
                                ",$12.95
https://www.glassesshop.com/eyeglasses/fp1922,"
                                    Bray
                                ",$12.95
https://www.glassesshop.com/eyeglasses/sup0798,"
                                    Sarasota
                                ",$29.95
https://www.glassesshop.com/eyeglasses/fp1543,"
                                    Adam
                                ",$24.95
https://www.glassesshop.com/eyeglasses/fm1017,"
                                    Brunswick
                                ",$29.95
https://www.glassesshop.com/eyeglasses/fz1357,"
                                    Milne
                                ",$29.95
https://www.glassesshop.com/eyeglasses/fm1384,"
                                    Riverside
                                ",$19.95
https://www.glassesshop.com/eyeglasses/fp1762,"
                                    Arlene
                                ",$24.95
https://www.glassesshop.com/eyeglasses/fz1368,"
                                    Leigh
                                ",$29.95
https://www.glassesshop.com/eyeglasses/fz1159,"
                                    Enoch
                                ",$29.95
https://www.glassesshop.com/eyeglasses/fp1631,"
                                    Aiden
                                ",$19.95
https://www.glassesshop.com/eyeglasses/fp1768,"
                                    Belle
                                ",$19.95
https://www.glassesshop.com/eyeglasses/fp1232,"
                                    Trenton
                                ",$19.95
https://www.glassesshop.com/eyeglasses/fp2124,"
                                    Salinas
                                ",$24.95
https://www.glassesshop.com/eyeglasses/sm0793,"
                                    Martin
                                ",$29.95
https://www.glassesshop.com/eyeglasses/rm0247,"
                                    Terre
                                ",$32.95
https://www.glassesshop.com/eyeglasses/sm0898,"
                                    Stephen
                                ",$12.95
https://www.glassesshop.com/eyeglasses/fp1806,"
                                    Watertown
                                ",$19.95
https://www.glassesshop.com/eyeglasses/fp1110,"
                                    Hyannis
                                ",$29.95
https://www.glassesshop.com/eyeglasses/fp2026,"
                                    Plains
                                ",$24.95
https://www.glassesshop.com/eyeglasses/fp1947,"
                                    Dinas
                                ",$12.95
https://www.glassesshop.com/eyeglasses/fp1593,"
                                    Jerry
                                ",$24.95
https://www.glassesshop.com/eyeglasses/fm1495,"
                                    Bevis
                                ",$29.95
https://www.glassesshop.com/eyeglasses/fz1311,"
                                    Whittier
                                ",$29.95
https://www.glassesshop.com/eyeglasses/fp1842,"
                                    Butler
                                ",$19.95
https://www.glassesshop.com/eyeglasses/fp1805,"
                                    Watertown
                                ",$19.95
https://www.glassesshop.com/eyeglasses/fp1646,"
                                    Angel
                                ",$19.95
https://www.glassesshop.com/eyeglasses/fz1494,"
                                    Jellico
                                ",$29.95
https://www.glassesshop.com/eyeglasses/fp2037,"
                                    Fresno
                                ",$12.95
https://www.glassesshop.com/eyeglasses/fp1902,"
                                    Jinbee
                                ",$9.95
https://www.glassesshop.com/eyeglasses/fz1245,"
                                    Beulah
                                ",$29.95
https://www.glassesshop.com/eyeglasses/fm1382,"
                                    Rochester
                                ",$29.95
https://www.glassesshop.com/eyeglasses/fm1467,"
                                    Benjamin
                                ",$29.95
https://www.glassesshop.com/eyeglasses/fz1086,"
                                    Nicole
                                ",$29.95
https://www.glassesshop.com/eyeglasses/fm1388,"
                                    Celia
                                ",$19.95
https://www.glassesshop.com/eyeglasses/fm1297,"
                                    Payne
                                ",$29.95
https://www.glassesshop.com/eyeglasses/fm1182,"
                                    Silber
                                ",$9.95
https://www.glassesshop.com/eyeglasses/fz1545,"
                                    Arlington
                                ",$34.95
https://www.glassesshop.com/eyeglasses/fm1494,"
                                    Bevis
                                ",$29.95
https://www.glassesshop.com/eyeglasses/fp1949,"
                                    Eleanor
                                ",$12.95
https://www.glassesshop.com/eyeglasses/fp1564,"
                                    Thomasville
                                ",$24.95
https://www.glassesshop.com/eyeglasses/fp2078,"
                                    Hartford
                                ",$24.95
https://www.glassesshop.com/eyeglasses/fp1657,"
                                    Derrick
                                ",$24.95
https://www.glassesshop.com/eyeglasses/fp1984,"
                                    Yonkers
                                ",$12.95
https://www.glassesshop.com/eyeglasses/fm1308,"
                                    Uriah
                                ",$19.95
https://www.glassesshop.com/eyeglasses/fm1184,"
                                    Plato
                                ",$5.95
https://www.glassesshop.com/eyeglasses/fp1453,"
                                    Valentina
                                ",$19.95
https://www.glassesshop.com/eyeglasses/fp1411,"
                                    Kelowna
                                ",$19.95
https://www.glassesshop.com/eyeglasses/fp1456,"
                                    Zoe
                                ",$19.95
https://www.glassesshop.com/eyeglasses/fz1464,"
                                    Prima
                                ",$44.95
https://www.glassesshop.com/eyeglasses/fp1830,"
                                    Averies
                                ",$19.95
https://www.glassesshop.com/eyeglasses/fp2072,"
                                    Irvine
                                ",$24.95
https://www.glassesshop.com/eyeglasses/fp1829,"
                                    Averies
                                ",$19.95
https://www.glassesshop.com/eyeglasses/fm1349,"
                                    Hawthorn
                                ",$29.95
https://www.glassesshop.com/eyeglasses/fp1735,"
                                    Osmond
                                ",$19.95
https://www.glassesshop.com/eyeglasses/fp2113,"
                                    Hattiesburg
                                ",$24.95
https://www.glassesshop.com/eyeglasses/fz1247,"
                                    Beulah
                                ",$29.95
https://www.glassesshop.com/eyeglasses/fm1252,"
                                    Carrie
                                ",$24.95
https://www.glassesshop.com/eyeglasses/fz1094,"
                                    Buckeye
                                ",$29.95
https://www.glassesshop.com/eyeglasses/fp2084,"
                                    Annabelle
                                ",$24.95
https://www.glassesshop.com/eyeglasses/fp1859,"
                                    Persol
                                ",$19.95
https://www.glassesshop.com/eyeglasses/sm0876,"
                                    Horatio
                                ",$19.95
https://www.glassesshop.com/eyeglasses/fz1248,"
                                    Beulah
                                ",$29.95
https://www.glassesshop.com/eyeglasses/fp1704,"
                                    Heather
                                ",$29.95
https://www.glassesshop.com/eyeglasses/fp1642,"
                                    Isaiah
                                ",$19.95
https://www.glassesshop.com/eyeglasses/fm1178,"
                                    Plato
                                ",$5.95
https://www.glassesshop.com/eyeglasses/fp2051,"
                                    LaSalle
                                ",$19.95
https://www.glassesshop.com/eyeglasses/fp2027,"
                                    Plains
                                ",$24.95
https://www.glassesshop.com/eyeglasses/fm1192,"
                                    Lopez
                                ",$12.95
https://www.glassesshop.com/eyeglasses/fp1566,"
                                    Cooksville
                                ",$24.95
https://www.glassesshop.com/eyeglasses/fz1092,"
                                    Buckeye
                                ",$29.95
https://www.glassesshop.com/eyeglasses/fp0917,"
                                    BowlingGreen
                                ",$29.95
https://www.glassesshop.com/eyeglasses/fp2126,"
                                    Laguna
                                ",$24.95
https://www.glassesshop.com/eyeglasses/fp2075,"
                                    Irvine
                                ",$24.95
https://www.glassesshop.com/eyeglasses/fp2025,"
                                    Joni
                                ",$29.95
https://www.glassesshop.com/eyeglasses/fp1834,"
                                    Tacab
                                ",$19.95
https://www.glassesshop.com/eyeglasses/fp1639,"
                                    Mason
                                ",$29.95
https://www.glassesshop.com/eyeglasses/fm1229,"
                                    Drew
                                ",$29.95
https://www.glassesshop.com/eyeglasses/fz1084,"
                                    Nicole
                                ",$19.95
https://www.glassesshop.com/eyeglasses/fp1111,"
                                    Hyannis
                                ",$29.95
https://www.glassesshop.com/eyeglasses/fp2066,"
                                    Eden
                                ",$19.95
https://www.glassesshop.com/eyeglasses/fp1363,"
                                    Evansville
                                ",$19.95
https://www.glassesshop.com/eyeglasses/fp2102,"
                                    Audrey
                                ",$19.95
https://www.glassesshop.com/eyeglasses/fp2091,"
                                    Jessica
                                ",$24.95
